Date,Number
January 2018,120974
February 2018,115600
March 2018,119841
April 2018,104967
May 2018,101138
June  2018,84345
July 2018,115881
August 2018,109471
September 2018,102849
October 2018,134052
November 2018,132247
December 2018,158043
January 2019,122273
February 2019,115613
March 2019,114419
April 2019,108565
May 2019,96814
June  2019,92398
July 2019,115448
August 2019,107275
September 2019,100837
October 2019,129018
November 2019,128730
December 2019,152098
January 2020,137419
February 2020,111560
March 2020,55863
April 2020,10
May 2020,20
June  2020,9
July 2020,45
August 2020,317
September 2020,369
October 2020,1149
November 2020,1177
December 2020,1042
